title	score	num_comm	created	content
"Venezuela calls U.S. ""the greatest threat to world peace"" after being hit by new Iran sanctions, Cuba calls tightening embargo ""wrong policy"" in pushback to Trump's Latin America moves"	6643	1109	2020-09-24 02:12:08	
Thailand blocks Change.org as petition against king gains traction	6642	272	2020-10-16 14:56:25	
Taiwan says won't be intimidated by China's 'hooligan' diplomats	6648	326	2020-10-20 11:05:48	
Former Cambridge Analytica chief receives seven-year directorship ban	6471	222	2020-09-24 22:25:29	
Spanish Supreme Court rules food delivery riders are employees	6463	542	2020-09-24 16:52:43	
Russian opposition leader Navalny says Trump should condemn chemical attack against him	6196	293	2020-10-19 07:17:13	
Belarus allows police to use lethal weapons at mass protests	6178	408	2020-10-12 18:08:20	
Tasmanian devils have been reintroduced into the wild in mainland Australia for the first time in 3,000 years.	6120	259	2020-10-05 14:39:59	
Young Australians are being 'aggressively radicalised' through right-wing extremism, federal police warn	6106	890	2020-10-20 13:25:27	
Belarus opposition leader, Svetlana Tikhanovskaya, issues “people’s ultimatum” to Alexander Lukashenko: “on October 26th, nationwide strikes will begin... you have 13 days”	6076	187	2020-10-19 00:23:00	
Plastic straws to be banned in England from Thursday	5947	488	2020-09-29 23:22:19	
Canada's New Democrats will back Trudeau's government, averting election	5872	629	2020-09-30 05:18:01	
Greta Thunberg and youth climate protests return	5789	782	2020-09-27 08:24:28	
Alexei Navalny mocks Putin after the Russian leader reportedly suggested he poisoned himself with a nerve agent	5794	245	2020-09-23 22:13:19	
"CRISPR, the revolutionary genetic ""scissors,"" honored by Chemistry Nobel"	5782	291	2020-10-07 15:40:49	
Turkey Arrested and Illegally Detained a Canadian permanent resident, a PhD student and a member of the LGBTQ community, Cihan Erdal, simply for signing a letter six years ago	5682	352	2020-09-29 05:00:03	
E-cigarettes to become available as prescription-only items in Australia from June 2021: The Therapeutic Goods Administration has announced an interim decision to reclassify nicotine as a prescription-only medication	5677	860	2020-09-23 14:06:32	
Nigeria’s government has dissolved an infamous police unit plagued with allegations of extrajudicial killings and abuse after days of protests against police brutality	5664	53	2020-10-11 23:05:57	
Farmers call on UK to commit in law to ban chlorinated chicken - The National Farmers’ Union (NFU) has called on the UK government to make a legal commitment to ban chlorinated chicken and hormone-fed beef from supermarket shelves.	5632	526	2020-10-04 17:52:15	
Chinese President Xi Jinping tells troops to focus on 'preparing for war'	5560	998	2020-10-14 17:30:26	
Murderer who tackled London Bridge attacker with narwhal tusk pardoned	5548	431	2020-10-18 04:45:36	
North Korean Ambassador Who Vanished In Italy Is Now Living In South Korea Under The Protection Of The South Korean Government	5495	162	2020-10-07 18:13:17	
Japan unveils 3,000 Ton Submarine amid tensions with China.	5482	917	2020-10-14 22:16:10	
Trump to approve $22B railway between Alaska and Alberta, Canada	5453	1055	2020-09-27 23:03:08	
